movie_title,genre,release_date,year,runtime,rating,number_of_voters,approval_index,budget,domestic_revenue,international_revenue,difference_of_revenue,indicator
Jungle Cruise (2021),Action,7/28/2021,2021,127,6.6,194649,5.782217735,200000000,116987516,210469803,127457319,Profit
Jungle Cruise (2021),Adventure,7/28/2021,2021,127,6.6,194649,5.782217735,200000000,116987516,210469803,127457319,Profit
Jungle Cruise (2021),Comedy,7/28/2021,2021,127,6.6,194649,5.782217735,200000000,116987516,210469803,127457319,Profit
King Richard (2021),Biography,11/18/2021,2021,144,7.5,117221,6.308833788,50000000,15138334,37994866,3133200,Profit
King Richard (2021),Drama,11/18/2021,2021,144,7.5,117221,6.308833788,50000000,15138334,37994866,3133200,Profit
King Richard (2021),Sport,11/18/2021,2021,144,7.5,117221,6.308833788,50000000,15138334,37994866,3133200,Profit
Last Night in Soho (2021),Drama,10/27/2021,2021,116,7,142892,5.981445813,43000000,10127625,22876948,-9995427,Loss
Last Night in Soho (2021),Horror,10/27/2021,2021,116,7,142892,5.981445813,43000000,10127625,22876948,-9995427,Loss
Last Night in Soho (2021),Mystery,10/27/2021,2021,116,7,142892,5.981445813,43000000,10127625,22876948,-9995427,Loss
Licorice Pizza (2021),Comedy,11/26/2021,2021,133,7.2,120518,6.06590127,40000000,17318007,32903549,10221556,Profit
Licorice Pizza (2021),Drama,11/26/2021,2021,133,7.2,120518,6.06590127,40000000,17318007,32903549,10221556,Profit
Licorice Pizza (2021),Romance,11/26/2021,2021,133,7.2,120518,6.06590127,40000000,17318007,32903549,10221556,Profit
Malignant (2021),Crime,9/2/2021,2021,111,6.2,93648,5.090034885,40000000,13391791,33974421,7366212,Profit
Malignant (2021),Horror,9/2/2021,2021,111,6.2,93648,5.090034885,40000000,13391791,33974421,7366212,Profit
Malignant (2021),Mystery,9/2/2021,2021,111,6.2,93648,5.090034885,40000000,13391791,33974421,7366212,Profit
Mortal Kombat (2021),Action,4/8/2021,2021,110,6,176605,5.201631789,55000000,42326031,83508259,70834290,Profit
Mortal Kombat (2021),Adventure,4/8/2021,2021,110,6,176605,5.201631789,55000000,42326031,83508259,70834290,Profit
Mortal Kombat (2021),Fantasy,4/8/2021,2021,110,6,176605,5.201631789,55000000,42326031,83508259,70834290,Profit
National Champions (2021),Drama,12/10/2021,2021,116,5.7,1547,2.94811411,9000000,475488,475488,-8049024,Loss
National Champions (2021),Sport,12/10/2021,2021,116,5.7,1547,2.94811411,9000000,475488,475488,-8049024,Loss
Nightmare Alley (2021),Crime,12/17/2021,2021,150,7,147289,5.997054976,60000000,11338107,37537773,-11124120,Loss
Nightmare Alley (2021),Drama,12/17/2021,2021,150,7,147289,5.997054976,60000000,11338107,37537773,-11124120,Loss
Nightmare Alley (2021),Thriller,12/17/2021,2021,150,7,147289,5.997054976,60000000,11338107,37537773,-11124120,Loss
No Time to Die (2021),Action,9/29/2021,2021,163,7.3,407964,6.806907573,250000000,160891007,759959662,670850669,Profit
No Time to Die (2021),Adventure,9/29/2021,2021,163,7.3,407964,6.806907573,250000000,160891007,759959662,670850669,Profit
No Time to Die (2021),Thriller,9/29/2021,2021,163,7.3,407964,6.806907573,250000000,160891007,759959662,670850669,Profit
Nobody (2021),Action,3/19/2021,2021,92,7.4,259618,6.655882403,16000000,27568035,57512470,69080505,Profit
